Sno,Question,Answer,Subject,Category
1,What does the # symbol do in Python?,# is used to comment on everything that comes after on the line.,Python,Technical
2,How are arguments passed by value or by reference in Python?,Everything in Python is an object and all variables hold references to the objects.ï¿½,Python,Technical
3,What is a lambda function?,A lambda function is an anonymous function.,Python,Technical
4,Is Indentation Required in Python?,"Yes, indentation is required in Python",Python,Technical
5,What is a break?,The break statement is used to terminate the loop or statement,Python,Technical
6,Is Python case sensitive when dealing with identifiers?,"Yes, Python is case sensitive.",Python,Technical
7,What does pip stand for python?,Preferred Installer Program,Python,Technical
8,"Which loop in Java is used to iterate over a sequence of elements, such as arrays?",for loop  is used to iterate over a sequence of elements.,Java,Technical
9,What keyword is used to indicate that a method does not return any value in Java?,void keyword is used to indicate that a method does not return any value.,Java,Technical
10,What does the static keyword mean in Java?,sharing of the data with class name.,Java,Technical
11,"In Java, what is the purpose of the break statement?",Terminate a loop or switch statement,Java,Technical
12,Tell me example that not a primitive data type in Java?,Arrays Vector Linked List.,Java,Technical
13,What is the default value of a boolean variable in Java?,FALSE is the default value for boolean.,Java,Technical
14,What is the purpose of the super keyword in Java?,To call a superclass method from child class.,Java,Technical
15,How do you declare a constant variable in Java?,final keyword is uses for declaring constant,Java,Technical
16,How do you handle conflicts at work?,I address conflicts by,communication,Behavioral
